country,year,pixel_count,luminosity,avg_luminosity,avg_luminosity/pixel_count,normalizedviirs,normalizedviirs/pixel
Albania,2012,303968,121805.1457,40601.71522,0.133572334,161038.4244,2.144530307
Albania,2013,303968,133856.5992,44618.8664,0.146788038,165055.5756,2.145389971
Albania,2014,303968,108442.0883,36147.36277,0.118918316,156584.072,2.143577081
Albania,2015,303968,59634.97454,19878.32485,0.06539611,140315.034,2.14009553
Albania,2016,303968,51327.10755,17109.03585,0.056285648,137545.745,2.139502906
Albania,2017,303968,149801.4797,49933.82657,0.1642733,170370.5358,2.146527365
Albania,2018,303968,196092.9766,65364.32554,0.215036864,185801.0347,2.14982947
Armenia,2012,423306,68899.03321,22966.3444,0.05425471,144881.7378,1.381601095
Armenia,2013,423306,81104.60631,27034.86877,0.063866018,148950.2622,1.382471753
Armenia,2014,423306,24720.54693,8240.182309,0.019466254,130155.5757,1.378449717
Armenia,2015,423306,49452.88572,16484.29524,0.038941794,138399.6887,1.380213945
Armenia,2016,423306,53959.72529,17986.5751,0.042490716,139901.9685,1.380535431
Armenia,2017,423306,97889.54929,32629.84976,0.077083362,154545.2432,1.383669071
Armenia,2018,423306,58565.91257,19521.97086,0.046117869,141437.3643,1.380864004
Benin,2012,1064328,130886.7846,43628.92821,0.040991995,57777.24393,0.194931175
Benin,2013,1064328,93739.32103,31246.44034,0.029357905,45394.75607,0.19228134
Benin,2014,1064328,113506.693,37835.56433,0.035548782,51983.88006,0.193691403
Benin,2015,1064328,146226.3421,48742.11404,0.04579614,62890.42976,0.196025389
Benin,2016,1064328,74175.97378,24725.32459,0.023230926,38873.64032,0.19088583
Benin,2017,1064328,279171.4082,93057.13606,0.087432761,107205.4518,0.205508741
Benin,2018,1064328,338434.943,112811.6477,0.10599331,126959.9634,0.209736179
Bosnia and Herzegovina,2012,574425,221214.996,73738.33201,0.128368946,405876.1848,2.758984691
Bosnia and Herzegovina,2013,574425,167963.8872,55987.9624,0.097467837,388125.8152,2.755186137
Bosnia and Herzegovina,2014,574425,153258.4863,51086.1621,0.088934434,383224.0149,2.754137158
